issue,description_summary_category,description_summary
Lifelihoods,Welfare schemes,"Lilmuni Tudu and his family are struggling to maintain themselves, even after applying for family welfare schemes."
Lifelihoods,Street vending,"The removal of the vegetable market in Ranchi district has caused losses to vendors without alternative arrangements, despite the protection of livelihood and street vending Bill 2014."
Health,Lack of infrastructure and equipment,"Incomplete building and unused ultrasound machine at Community Health Center, Raniya, Khuti district"
Health,Lack of staff,"Primary Health Center built at Chhatrutand (Mahuda), Dhanbad district is not functional due to lack of staff"
Health,Lack of infrastructure and facilities,"Sub Health Center building in Latra village, Gumla district is in dilapidated condition and lacks basic facilities"
Health,Accident,"Gas blast in Sindri village, Godda district injured 8 people"
Health,Economic distress,"Unemployment and financial distress in Kadadohar village, Satbarwa block"
Health,Inadequate access to healthcare,"Difficulty in accessing vaccination for people in Kamaru village, Satbarwa block"
Health,Inadequate access to healthcare,"Delay in receiving Covid-19 test reports in Mahavir Chowk, Satbarwa block, Palamu district"
Health,Misinformation,Rumors and misinformation leading to vaccine hesitancy in Satbarwa block
Health,Misinformation,"Low vaccination rates in Behari village, Sader Hazaribagh block due to misinformation and rumors"
Health,Lack of staff,"Lack of specialist doctors and nurses at Sadar Hospital, Chaibasa, West Singhbhum district"
Health,Inadequate access to healthcare,"Closed sub-health center in Banai village, Raniya block, Khuti district leading to inadequate healthcare access for 2000-3000 people"
Health,Lack of staff and infrastructure,"Primary Health Center in Navdiha, Giridih block lacks staff, equipment, and medicines"
Health,Inadequate access to healthcare and vaccine,"Delay in accessing the second dose of Covid-19 vaccine in Khajuria village, Dumka district"
Health,COVID Awareness,Lack of COVID awareness in a village
Health,ASHA workers' condition during COVID,Discrimination against ASHA workers during COVID
Health,Healthcare infrastructure,Inadequate healthcare infrastructure in Jharkhand
Health,Healthcare infrastructure,Death of a patient due to lack of healthcare
Health,Healthcare infrastructure,Closure of sub health center in Dumka district
Health,Healthcare infrastructure,Water problem in Anganwadi center
Health,Healthcare infrastructure,Community health center without a doctor
Health,Healthcare infrastructure,"Inadequate treatment at Sadar Hospital, Dumka"
Health,Healthcare infrastructure,Non-availability of doctor at hospital
Health,Payment issues with Sahiya worker.,Non-payment of due amount to Sahiya worker
Health,Hospital food quality,Unsuitable food for patients in Sadar Hospital Sahebganj
Health,Doctor's duty hours,Limited duty hours of doctors in Khuntpani community health center
Health,Doctor's duty hours,Doctors leaving patients unattended at night
Health,Accessibility to healthcare,Patients from more than 50 villages have to travel 15-20 km for treatment
Governance and Accountability,Pension issue,78-year-old Johani Topano not receiving old age pension
Governance and Accountability,Housing issue,Potter not getting the benefit of Awas Yojna
Governance and Accountability,Infrastructure issue,Road in Baghmara village damaged for 15 years
Governance and Accountability,Pension issue,63-year-old Ramphal Devi not receiving old age pension
Governance and Accountability,Disability issue,"Bijli Tiriya, a 90% disabled boy, unable to get Aadhar card"
Governance and Accountability,Transportation issue,Sitarampur village facing transportation issue due to unconstructed PCC
Governance and Accountability,Food security issue,10 poor families in Kinnarkela village not receiving ration cards
Governance and Accountability,Payment issue,Anganwadi centers in Khuti district not receiving payment for meals
Governance and Accountability,Payment issue,Anganwadi workers in six blocks of Khanti district not receiving payment since 2017
Governance and Accountability,Electricity issue,Village without electricity receiving electric bills regularly since 2017
Governance and Accountability,Housing issue,Sinan Soren's housing scheme incomplete in Badia village
Governance and Accountability,Food security issue,Surajmuni Marandi not receiving ration despite having ration card
Governance and Accountability,Disability issue,Basanti Devi not receiving pension benefits despite being a Divyaang
Governance and Accountability,Democratic issue,Importance of voting for good candidates
Governance and Accountability,Housing issue,Kulamanti Devi not receiving benefits of PM Housing Scheme despite being listed
Governance and Accountability,Housing issue,Manisha Devi and 15 other families living in poor mud houses
Governance and Accountability,General issue,Gram Kaswadhar facing problems of all castes
Governance and Accountability,Government benefits,A widow from Ulirajabasa village has not received government benefits promised by the block after her husband's death.
Governance and Accountability,Environmental degradation,"The Lupungootu waterfall in West Singhbhum has become a den of alcoholics, and the use of plastic and thermocol at the picnic spot is making it dirty."
Governance and Accountability,Labor rights,"The construction work in the Hessabandh village is of poor quality, and laborers are being paid less than the MNREGA wage rate."
Governance and Accountability,Healthcare workers' rights,Sahiya local health workers under the Tonto block health center in West Singhbhum district have not received their payments since 2018 and are being verbally abused when they ask about them.
Governance and Accountability,Electric accident victim compensation,"A man from Basia Panchayat Moreng Village Kinilkela, District Gumla Block Basia, lost his left hand in an electric accident in 2015, and he has not received any benefits."
Governance and Accountability,"Workers' rights, Unpaid wages","Jayanthi Bada, an Anganwadi worker from Sasia village, Panchayat Itam, District Gumla, Block Basia, has not received her honorarium regularly, and neither have 164 other Anganwadi workers."
Governance and Accountability,"Job cards, Nutrition access","23 families in Mohwabhatan village of Panchayat Kusum Ghati in District Godda Prakhand Bowarijhor do not have job cards, and the Anganbari center is 5 km away, leaving 145 children without access to nutrition."
Governance and Accountability,Social Welfare,Kranti Devi not receiving widow pension
Governance and Accountability,Social Welfare,Mustari Khatun and Nazia Khatun unable to get BPL card
Governance and Accountability,Labor Rights,Anganbari worker Neelam Horo not receiving timely wages
Governance and Accountability,Infrastructure,Pump at the Anganbari center not working
Governance and Accountability,Education,Asim Hemrom not receiving college scholarship
Governance and Accountability,Government Services,Unable to obtain income and caste certificates
Governance and Accountability,Infrastructure,Anganbari center in Murgao lacks its own building
Governance and Accountability,Infrastructure,Anganwadi center in Chadakpathar not operational
Governance and Accountability,Agriculture/Environment,Compensation for cattle killed by electric current
Governance and Accountability,Infrastructure,Villagers not receiving electricity despite billing
Governance and Accountability,Labor Rights,Sahiyas of Ratu Block not paid since July 2016
Governance and Accountability,Infrastructure,Wells for villagers in Birakhup not yet built
Governance and Accountability,Energy/Environment,Non-availability of LPG gas sets for 12 families
Governance and Accountability,Social Welfare,Residents not receiving old age pension
Governance and Accountability,Social Welfare,Widow pension not provided to Talo Hansda
Governance and Accountability,Economy/Commerce,Retailers not accepting coins in Birhor community area
Governance and Accountability,Economy/Commerce,SHG group unable to open bank account
Governance and Accountability,Social Welfare,Government-mandated diet at Anganwadi centers
Governance and Accountability,Social Welfare,Old age pension not received by 6 elderly persons
Governance and Accountability,Labor Rights/Policy,Demands of Jal Sahiyas not met by the government
Corruption,Housing Scheme,Incomplete construction of houses in PMAY scheme
Corruption,Education,Incomplete construction of a school building
Corruption,Scam,Loan scam
Corruption,Child Welfare,Malfunctioning of Anganwadi centers
Corruption,Housing Scheme,Unfulfilled PMAY housing scheme
Corruption,Pension,Delayed pension payment
Corruption,Energy,Lack of access to gas connections
Corruption,Housing Scheme,Unfulfilled PMAY housing scheme
Corruption,Child Welfare,Unconstructed Anganwadi centers
Corruption,Housing Scheme,Irregularities in PMAY scheme implementation
Corruption,Financial fraud,Farmers are being scammed in the name of KCC loan
Corruption,Financial fraud,"Budhni Bodra was scammed of Rs.50,000"
Corruption,Activism,Xavier Hamsay and Video Volunteers are taking action against corruption
Corruption,Infrastructure,Robin Hapadgara's Kuwan of Council village is incomplete and banned from MNREGA
Corruption,Infrastructure,Saranda Axan Plan has left many indrawash projects incomplete
Corruption,Infrastructure,Harish Soy's Dova Nirman is incomplete
Corruption,Government support,Pandya Munda is not getting old age pension
Corruption,Corruption,Ration card dealer in Lopongtandi Ulhara village took cash and gave less ration
Corruption,Government support,Ranju Kaur is not getting Indra Awas for 10 years despite having a BPL card
Corruption,Infrastructure,Jiwan Lohar cannot complete his Indra Awas due to contractor fraud
Corruption,Infrastructure,Murum road in Potka Panchayat Hartopa is incomplete
Corruption,Infrastructure,Santosh Turi and 199 others are forced to live in damaged Indira Awas houses
Corruption,Government support,Adhar card is not being made in Nawa village
Corruption,Infrastructure,Nirman Kup work in Panjinia village is incomplete
Corruption,Employment,Kishun Mahto has not been paid for 14 months
Corruption,Employment,BSNL employees have not received payment for 8 months
Corruption,Government support,Dula Pahar village families are living in plastic chat houses and not receiving ration
Corruption,Healthcare,Animal Husbandry(dispensary) remains closed in Nav
Sanitation,Lack of Toilets,14 families still have to go out for defecation
Sanitation,Lack of Toilets,Not a single toilet has been built in 14 houses of Hatijan Tola
Sanitation,Lack of Toilets,"A village named Champabaha of Tapkara panchayat where village was declared ODF, to cheat the people and Mahatma Gandhi"
Sanitation,Lack of Drinking Water,Digri village is facing trouble due to the absence of Chapakal
Sanitation,Lack of Drinking Water,Tungarkela has a lot of trouble due to 12 defunct Chapakal
Sanitation,Corruption,Toilet construction work is halted due to corruption
Sanitation,Lack of Infrastructure,Drain construction work has been left incomplete
Sanitation,Lack of Infrastructure,Raw road in Matgada Main Road to Sub Health Center Matgada not built till date
Sanitation,Lack of Toilets,50% of households in Rajpur village don't have toilets
Sanitation,Lack of Toilets,Toilets in Anganwadi center of District Madras are incomplete for 2 years
Sanitation,Lack of Toilets,People are still forced to defecate in the open due to gross irregularities in toilet construction
Sanitation,Lack of Toilets,People in Nawadih village of Kanhachti are forced to defecate in the open
Sanitation,Lack of Toilets and Health Issues,Villagers are suffering from disease due to forced open defecation in Nawadih village
Sanitation,Waste management,"Auto stand is being used as a dump yard at a bus stand in Daltonganj Palamau, causing trouble to travelers"
Sanitation,Sanitation programs,Swachh Bharat Abhiyan aims to provide comprehensive sanitation coverage in rural areas but there are infrastructural requirements that need to be met
Sanitation,Sanitation programs,"Residents of a remote village in Jharkhand lack access to toilets, despite government promises to construct them"
Sanitation,Sanitation programs,Incomplete construction work under Swachh Bharat Abhiyan in Khuntpani block of West Singhbhum District has caused inconvenience to locals
Sanitation,Water scarcity,Water scarcity due to the consumption of Cuwan dhans in Bartand tola of Jamdih village of Rampur panchayat of Kamdara block of Gumla district
Sanitation,Waste management,Drains over Ranchi's markets are flooded with filth
Sanitation,Sanitation programs,Toilets have not been constructed for six families in O Harijan Tola of Gomiya block of Bokaro district
Sanitation,Sanitation programs,200 families in Nawadih village of Dumka block of Dumka district go for defecation every day due to the lack of toilets
Sanitation,Sanitation programs,Kanchan Devi has not received a toilet in Village-Gundoro
Forced Evictions,Land dispute,Forest department forcibly dug trenches in villagers' land and filed a case against them
Forced Evictions,Land acquisition,Farmers are suffering loss due to delay in land acquisition compensation
Forced Evictions,Displacement,130 villages displaced due to Masanjor Dam construction
Forced Evictions,Land dispute,Forest department wants to remove 150 Bhuiya families from their homes and land
Forced Evictions,Displacement,Dalit families displaced due to tree planting in Palamu
Forced Evictions,Infrastructure development,Demolition of shops in Ranchi city for flyover construction without compensation
Forced Evictions,Displacement,2700 displaced families living in poor conditions after being resettled for coal project
Forced Evictions,Violence,Injury to Jairam due to physical attack by 6 people
Forced Evictions,Food distribution,Allotment of food in Hazribaugh bothers people
Forced Evictions,Fire,Tribal houses burnt down by forest department
Forced Evictions,Illegal mining,Illegal sand mining in Nichitpur
Forced Evictions,People's movement,Netrahat Struggle to keep people's voice alive
Forced Evictions,Environmental degradation,Mining companies dumping debris on village land
Forced Evictions,Exploitation,Villagers being cheated by companies in Bansbonwa
Forced Evictions,Environmental degradation,Futile plantation drive in Ramgarh
Forced Evictions,Fire,Fire in Fakodih
Forced Evictions,Environmental degradation,Wastage of CCL colony being thrown in villagers' fields at Lopongtandi
Forced Evictions,Land dispute,Slum dwellers take builders to court
Forced Evictions,Land dispute,Villagers protesting against forgery factory taking over land
Forced Evictions,Displacement,Refugees waiting for compensation for land in their own country
Forced Evictions,Land dispute,Adivasi owners protesting against government takeover of agricultural land for infrastructure development
Power and Energy,Electricity supply and safety,Bad condition of transformer and wire in Manjar village causing safety issues
Power and Energy,Electricity supply and safety,No electricity for 15 days in Lohajimi village causing safety issues due to elephants
Power and Energy,High electricity bill,Residents of Kamra village facing difficulty paying high electricity bill
Power and Energy,No electricity supply,17 out of 42 houses in Sahebganj Panchayat without electricity
Power and Energy,No electricity supply,Three tola in Khatkhura Panchayat lacking electricity causing difficulty for 450 people
Power and Energy,No electricity supply,Navdiha village in Koderma district without electricity for five years due to faulty transformer
Power and Energy,Electricity supply and safety,Transformer not working for four months in Burutola village causing education and safety issues
Power and Energy,No electricity supply,Harijan Tola/Bhuhiya Tola of Aisha village without electricity for five years
Power and Energy,No electricity supply,Chhveta village in Chatra district without electricity for five years
Power and Energy,No gas connection,Anita Devi and Sangeeta Devi in Naradih village waiting for gas connection for ten years
Power and Energy,Electricity supply and safety,Eleven thousand year old poles in District Chhatra causing safety issues
Power and Energy,Electrical,Lack of lineman in Pandrasali village
Power and Energy,Electrical,No electricity in Tirildih village
Power and Energy,Electrical,No electricity in Kalajharia village
Power and Energy,Electrical,Lack of electricity in Heselkuti village
Power and Energy,Electrical,No electricity in Gaigai village
Power and Energy,Electrical,Bad transformer in Bambyari village
Power and Energy,Electrical,Faulty transformer in Dumnabandh village
Power and Energy,Electrical,Unfinished electrical installation in Jankipur village
Power and Energy,Electrical,Failure of transformers in Chetan Tola and Buru Tola
Power and Energy,Electrical,Transformer without earthing in Nawadih village
Power and Energy,Electrical,Electricity cut off in Katangi Panchayat
Caste,Social discrimination,Untouchability practice in Madhupur village in Jharkhand where Dalits are given dry grains and people of other castes do not eat with them
Technology,Technology/Infrastructure,Network problem in every forest area village of Jharkhand
Technology,Technology/Infrastructure,BSNL or other mobile company's network is not available in Bandgaon
Technology,Technology/Infrastructure,Tribal boy from Saranda Jaysingh kayam distributing videos of Video volunteers in the community and to activists
Technology,Technology/Infrastructure,"Jila Khunti Prakhand Torpa Panchayat Marcha's Pragya center not served by the Internet, causing unavailability of Panchayat logo online"
Technology,Technology/Infrastructure,Problems of youth due to unavailability of network in cyber cafes in Mohadand Block of Latehar District
Technology,Technology/Infrastructure,Community of video volunteers in Gay Gay village of Murhu block of Khunti district relying on internet for work
Impact,Corruption,Corruption scam in Jagdishpur middle school
Impact,Government scheme,People in Pandrasali did not receive the second installment of Indiara awas
Impact,Healthcare,Medical negligence at Madhupur Gov. hospital
Impact,Government scheme,14 MNREGA Laborers in Kundan not paid fully
Impact,Government scheme,Old age pension issue for women in Salgadih village
Impact,Government scheme,12 laborers in Kitahatu village not fully paid for MGNREGA work
Development,Water scarcity and infrastructure,Aidega village has only one hand pump that is in bad condition and no repairing is done by the authority
Development,Housing and infrastructure,"Houses of two poor women from Bhuiyan community have fallen in Bindhani village of Madgadda Panchayat of Kanhachetti block, Chatra dist, but administration has not taken any action yet"
Development,Employment and development,"Guarantee for NTPC railway line was taken from Kahal Gaun to Lal Matiya in 1981-82, but 62 people who got bail in Jisme Ghatiyari have not been provided any job"
Development,Land rights and employment,A person named Madhaw Kisku has not been given work for 20 years despite claiming his land and another person with the same name working on his land
Development,Infrastructure and transportation,"Birakhap village lacks a bridge over Bokaro river, causing difficulties for villagers and school children in the rainy season"
Development,Basic amenities and infrastructure,"Birhor community in Lohadanda village, Koderma district, lacks basic amenities like ration and safe drinking water"
Development,Social welfare and corruption,Sukhni Devi's pension has been suspended mysteriously
Development,Healthcare and migration,30 people of PTG group of Sarvaha village of Chainpur district of Palamu district are fleeing to UP due to lack of medical facilities
Development,Land rights and compensation,"BCCL company has mortgaged land in Jairamdih, Daulatdih and Benidih areas of Madra panchayat of Dhanbad district, and compensation has not been given to the affected people"
Development,Social welfare and governance,"Harmonaya's Anganwadi Scheme in High Ideals, Low Execution has failed"
Development,Infrastructure and electricity,"Rajiv Gandhi Vidyut Pariyojna in Pahantoli village in Lachragar panchayat is incomplete for four years, and only an electric pole has been established"
Development,Social welfare and governance,17 people in Dopai gaon have not received old age pension due to incorrect details provided by the post office
Development,Social welfare and governance,"Mini anganwadi is needed in the village as per the population and distance, despite having 2 anganwadis already present"
State Repression,Caste-based violence,"A Dalit family in an upper-caste dominated village in Jharkhand faced violence during Holi, leading to the death of the only breadwinner, Pradeep Chowdhary."
State Repression,Police brutality,"Angrapatha Bhumi Dhasan Maharaj Bhuiyan, a resident of Jagdispur village, was beaten by the police and thrown into Kulha, leading to severe injuries."
State Repression,Socio-economic issues,"The family of Pradeep Chowdhary, who died due to violence on Holi, is now struggling to survive as he was the only earning member."
State Repression,Regional discrimination and violence against Dalits,"The incident took place in Satgawan block of Koderma district in Jharkhand, highlighting the prevalence of violence and discrimination against Dalits in the region."
Religion & Faith,Caste discrimination,"Untouchability in factory, Dalit person beaten by upper caste people"
Religion & Faith,Caste discrimination,Ration dealer beats Dalit woman for calling for 4-month ration
Religion & Faith,Caste discrimination,Lady not allowed to cook food or enter the kitchen because she married a Dalit boy
Religion & Faith,"Caste discrimination, Superstition",Indra Baraik killed in Jamdih village; villagers stopped interacting with him and drank the blood of a white hen to purify themselves
Religion & Faith,Caste/religious discrimination,"Discrimination against tribal or Muslim community in Goda district, Najid tola of Prakhand, Karon village"
Religion & Faith,"Caste discrimination, Superstition","Defenseless woman branded ""Witch"" in Tanti village in Gumla district, new bride and bridegroom face untouchability"
Religion & Faith,Social discrimination,India's wandering tribe loses its way
Religion & Faith,Caste discrimination,Discrimination at hand pump
Religion & Faith,Religious discrimination,"Muslim families in Kolgarma village threatened and assaulted by bullies, banned from village shop"
Gender,Women's Rights,"Muslim women have the right to vote, but their participation in electoral politics in India is very low."
Gender,Violence Against Women,"Tribal women are not safe despite having a big security cover. The secretary of Padmavati Jain Saraswati Shishu Vidha Mandir of West Singhbhum is accused of physical and mental torture, and no arrests have been made despite multiple FIRs and complaints."
Gender,Women's Empowerment/Safety,"Pink auto mahila service, an auto-rickshaw service run by women for women, has been running since 2013 and has grown to over 2000, providing income and employment opportunities to many women, but the drivers themselves often don't feel safe."
Gender,Poverty,"Asma Devi, a single mother with three kids, has been left by her husband and has no source of livelihood."
Gender,Widows' Rights,Chedni Devi of Jamdih Bardand village of Rampur panchayat of Kamdara block of Gumla district is a widow and a member of Vidhwa Mahila society.
Gender,Violence Against Women,"Chandmuni Tudu, a 14-year-old tribal girl from Ghansaria village, was raped by a 28-year-old person named Dhaneswar Sao."
Gender,Violence Against Women,"Sheela Tudu from Badkiyari village, Maheshpur block, Pakur district, was sexually exploited for three years and gave birth to a child in December 2015. Simon, who promised to marry her, refused to marry her and accept the child. No solution has been found despite seeking help from the village panchayat and police station."
Gender,Violence Against Women,"A 25-year-old man attempted to rape a 3-year-old girl, but the girl escaped and the man was sent to jail. The victim's family was threatened by the man's family."
Gender,Violence Against Women,"Seema Kora and Urmila Kora, two minor Adivasi girls from Lawabhujani village of Lilatari panchyat of Bowarijor block of Goda district, were gang-raped by six non-tribal boys. An FIR was lodged against Dr. who used the Two Finger Test."
Gender,Women's Rights,Less labor is given to women in exchange for harvesting paddy in Bardand village of Rampur panchayat of Kamdara block of Gumla district.
Gender,Women's Rights,"Deena Hansda of Kadmpur village of Khapur panchayat of Maheshpur block of Pakur district, whose age is 60 years, was denied land rights by some people in her village."
Gender,Women's Rights/Health,"In ""CHAT PUJA,"" women fast for the happiness and prosperity of the household and apply sindoor, but the practice is associated with social pressure and can cause infections."
Gender,Gender Stereotypes,"Children are taught from an early age how to present themselves in front of others based on their gender, which affects their behavior in the future."
Gender,Violence Against Women,Five women were murdered in Kanjiya Maraitoli village of Mandar block of Ranchi district.
Gender,Crime,Jyoti Malto's camera was stolen in a week in Daminbitha panchayat of Mandro block in Sahebganj district.
Gender,Women's Safety,Paharia women have no access to a door near Karamtola station.
Gender,Violence Against Women,A 6-year-old girl was raped in AG colony Bhagatkocha Harmu of Ranchi district by a 14-year-old boy.
Reproductive Rights,Government benefits,Women are not receiving benefits under the Janani Suraksha Yojana in Ramgarh district.
Reproductive Rights,Lack of medical facilities,Women are not receiving medical attention during pregnancy in Madhudih village of Baghmmara block.
Reproductive Rights,Lack of basic amenities in health centers,Up Swasthya Kendra Radhanagar in Dhanbad district has no water facility or pipeline.
Reproductive Rights,Corruption in the healthcare system,Seven women were saved by a nurse in Godda district for 400 rupees.
Reproductive Rights,Government benefits,Pregnant women in Indra village of Churchu block are not receiving benefits under the Janani Suraksha Yojana.
Reproductive Rights,Lack of basic amenities in health centers,Telmocho Up Swasthya Kendra in Baghmara block has a dilapidated building with no toilet facilities.
Reproductive Rights,Lack of recognition and support for healthcare workers,Sahiya is of another dress and is not recognized when taking delivery patients to the hospital in Ormanjhi block.
Reproductive Rights,Lack of basic amenities in health centers,No Anganbari center in Bindhani village of Malgada panchayat.
Reproductive Rights,Lack of basic amenities in health centers,No Anganbari center in Pundaag village of Ormanjhi block.
Reproductive Rights,Lack of functional health centers,"Community Health Center, Parathmic Health Center, and Upswasthaya Kendra in Baghmara Parkhand of Dhanbad District are not functioning properly."
Infrastructure,Water supply and sanitation,No water supply in Mohada village for 2 years
Infrastructure,Infrastructure,"Bridge in Koel river broken for years, making it difficult to cross river"
Infrastructure,Infrastructure,Road in Jamabpda in Putki in very bad condition
Infrastructure,Infrastructure,Railway bridge between Pandeydih and Singda in very bad condition
Infrastructure,Education and child welfare,"No Anganbari centre in Gulgulia Dhauda of Utri Swang, children sit outside"
Infrastructure,Infrastructure,"Poor transport, crowded buses on potholed roads in rural India"
Infrastructure,Infrastructure,Poor drainage in a town
Infrastructure,Infrastructure,Broken bridge leaving villagers stranded
Infrastructure,Water supply and sanitation,"Water shortage in villages, using water from puddles"
Infrastructure,Infrastructure,Incomplete bridge stalling development
Infrastructure,Agriculture and land use,Demand from villagers to destroy GADWAL to stop soil from going into fields
Infrastructure,Infrastructure,Need for more roads and less dust
Infrastructure,Sanitation,Hostel from hell with no toilets
Infrastructure,Water supply and sanitation,Dirty water supply in Tarup gaon
Infrastructure,Infrastructure,"No bridge between Songra and Hesadih panchayat, difficult to reach main road in rainy season"
Infrastructure,Energy,No electricity in India's coal capital
Infrastructure,Energy,"Kuwan in Chitarpur village without kabutara, rainwater enters and used for lighting 12 family logs"
Infrastructure,Education and child welfare,"Anganbari building in Patlewa village not in living condition, often occupied by animals"
Infrastructure,Infrastructure,Ranchi stadium not maintained
Infrastructure,Water supply and sanitation,"Drinking water problem in Chamdi Prahar village, have to walk for water"
Infrastructure,Water supply and sanitation,"Dirty drain affecting 20 families in Pahantoli village, Simdega district"
Environment,Environmental Issue,Wild elephants damaging paddy fields
Environment,Environmental Issue,Depletion of natural resources due to mining
Environment,Sanitation Issue,Dirty water flowing in the street
Environment,Environmental Issue,Pollution of the Garga River
Environment,Environmental Issue,"Public awakening on water, forest and land issues"
Environment,Environmental Issue,Toxic liquid flowing in the Damodar river
Environment,Environmental Issue,Deforestation for infrastructure development
Environment,Environmental Issue,Pond snatchers invading farmland
Environment,Agricultural Issue,Organic farming without government help
Labour Rights,Health workers' wages,211 sahiyas in Murhu Panchayat unpaid from 2011 to 2018
Labour Rights,Unpaid honorarium,Anganwadi worker in Marungtoli village unpaid for 9 months in 2017
Labour Rights,Unpaid honorarium,Jal Sahiya Didi people protest for honorarium in Lohardaga district
Labour Rights,MNREGA payment issue,MNREGA workers in Salakpur not paid for work
Labour Rights,Employee status issue,Anganwadi workers in Dumka demand status of government employees
Labour Rights,MNREGA payment issue,MNREGA workers in Domachach Prakahnd get Rs. 200 instead of job card
Labour Rights,Unpaid wages,Mini Anganwadi worker in Kodarma district unpaid for 14 months
Labour Rights,Unpaid wages,Worker in Timda village not paid for construction work in Bandgaon district
Labour Rights,MNREGA payment issue,Rozgar Sevak protesting for 20 days in Dumka
Labour Rights,Unpaid wages,Saksharta utprerak protesting in Dhanbad
Labour Rights,Sahiya worker issues,Sahiya workers facing problems with smartphone documentation
Labour Rights,Low salary issue,Subti Devi and Malti Devi paid only 1500 rupees per month in Bokaro district
Labour Rights,MNREGA payment issue,Job card holders in Basjori unable to get work
Labour Rights,Unpaid wages,"Sahiya worker Rekha Devi unpaid in Bundu block, Ranchi District"
Trafficking & Migration,Bonded labor,Forced bonded labor of Amit Orao for 4 years
Trafficking & Migration,Human trafficking,Kosari Pahadin taken to Delhi in 2010 and not returned
Trafficking & Migration,Human trafficking,Shanti Paharin missing after taken away from Delhi by Dharma Paharin
Trafficking & Migration,Human trafficking,Minor girl trafficked from Tetaria santhali village to Delhi
Trafficking & Migration,Human trafficking,Three girls given job of computer operator but 2 are missing
Trafficking & Migration,Human trafficking,Renu sold in Delhi for job in 2012
Trafficking & Migration,Rape,"10-year-old girl raped in Jamia Nagar, Ranchi"
Trafficking & Migration,Missing person,12-year-old girl missing from Jaldega
Trafficking & Migration,Bonded labor,13 labors and 4 children exploited in Goa
Trafficking & Migration,Bonded labor,Pradeep Bhengra delayed in getting work in Banglore
Trafficking & Migration,Human trafficking,Nati Paharin sold in Haryana for 60000
Trafficking & Migration,Bonded labor and human trafficking,Ashola Kumari worked as a bonded labor in Delhi for 2 years without payment
Courage & Inspiration,Infrastructure,Lack of casting on the floor in Aganbadi center
Courage & Inspiration,Education,Difficulty for children to sit in Aganbadi center
Courage & Inspiration,Agriculture,Birjit Topno's contribution to organic farming
Courage & Inspiration,Environmental,Kalamgar's campaign to save birds
Courage & Inspiration,Agriculture,Ishwar Rams' organic farming in his kitchen garden
Mining,Mining,Leasing of hills to private companies for mining opposed by villagers
Mining,Mining,Water scarcity in Pakur Sadar block due to deep mining
Mining,Mining,Illegal mining by Shivalaya Construction in Gumla violating PESA Act
Mining,Mining,Coal worth crores wasted due to fire in Kuju colliery
Mining,Mining,Safety concerns for families due to CCL mining in Agarwa tola and Dudhmatia tola
Mining,Mining,Uranium mining in East Singhbhum causing health problems
Mining,Mining,"Violation of laws like Samata Judgment, Pesa Law, and CNT Act in Ahaburu community"
Mining,Mining,Road excavation for coal mine causing difficulties for 300 people
Mining,Mining,Stone mining in Pakhnatoli village leading to displacement of 325 families
Mining,Pollution,TATA company dumping waste in river
Natural Disaster,Natural disaster,"A huge tree fell on a house due to incessant rains, causing 5 deaths."
Natural Disaster,Natural disaster,Sona Devi's house broke down due to the storm.
Natural Disaster,Natural disaster,"Kailu Manjhi's house broke due to heavy rain, and he is in need of government help."
Natural Disaster,Natural disaster,"Jharna Devi and 75 others were hit by cyclone Cakrawati and hailstorm, and have not received assistance."
Natural Disaster,Natural disaster,Harilal Yadeo's village experienced a storm that caused chaos and harm to the community.
Natural Disaster,Infrastructure,"8 farmers are unable to farm due to the breaking of a bridge, and the children are also facing problems due to the same issue."
Indigenous People,Land rights violation,Scheduled caste people in Pindra village cannot use community forest land
Indigenous People,Land rights violation,Forest department acquires farming land from Pindra villagers
Indigenous People,Land rights violation,Forest lease not granted to Rajmati Devi in Jhandi Panchayat
Indigenous People,Land rights violation,"Yadav people threaten Adivasi villagers in Barghad, Garwa district"
Indigenous People,Land rights violation,Forest department sends notice to Shivcharan Murmu for encroachment
Indigenous People,Land rights violation,Santhal community opposes implementation of local policy in Godna
Indigenous People,Land rights violation,"Only 10 out of 100 people receive forest lease in Palkot village, Gumla district"
Indigenous People,Land rights violation,Tribals in Bhang Kurkuta village deprived of land and house by forest department
Indigenous People,Administrative inefficiency,Pradhan of Jamdiha gaon and Baranadi gaon pending for 14 years for mortgage
Indigenous People,Administrative inefficiency,Udu panchayat villagers in Saraikela block not granted PATTA
Indigenous People,Administrative inefficiency,Domcha village people in Saraikela block not granted PATA since 2015
Indigenous People,Self-governance and constitutional rights,"Inauguration of Gram Sabha Bank in Udburu, Khunti district"
Indigenous People,Administrative inefficiency.,"License claims pending in Garam Pichhuliya, Palamu district"
Art & Culture,Festival and Tradition,The Karma festival is being celebrated in Jharkhand and other states with worship of nature and prayers for brother's happiness and longevity.
Art & Culture,Cultural Preservation and Awareness,"World Tribal Day is celebrated on August 9 to preserve language, cultural traditions, and present their rights before the government for education, health, employment, and social upliftment."
Art & Culture,Tradition and Natural Sanctuary,Veer Puja is a tradition in Jharkhand to protect the people of the village from wild animals and bring good rains.
Art & Culture,Festival and Tradition,Manda Puja is celebrated in the village of Malidiha in Gola block in the district of Ramgarh to make villagers free from all dangers.
Art & Culture,Festival and Tradition,Newly married women celebrate a festival in CC Bharti's village during the famous rath yatra at Odisha.
